"Adicet Bio Inc. Common Stock","ACET","NYSE","stock","USD"
"Arch Capital Group Ltd. Common Stock","ACGL","NYSE","stock","USD"
"Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G","ACGLN","NYSE","stock","USD"
"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F","ACGLO","NYSE","stock","USD"
"Acadia Healthcare Company Inc. Common Stock","ACHC","NYSE","stock","USD"
"Achilles Therapeutics plc American Depositary Shares","ACHL","NYSE","stock","USD"
"Archer Aviation Inc. Class A Common Stock","ACHR","NYSE","stock","USD"
"Achieve Life Sciences Inc. Common Shares","ACHV","NYSE","stock","USD"
"Albertsons Companies Inc. Class A Common Stock","ACI","NYSE","stock","USD"
"AC Immune SA Common Stock","ACIU","NYSE","stock","USD"
"ACI Worldwide Inc. Common Stock","ACIW","NYSE","stock","USD"
"Axcelis Technologies Inc. Common Stock","ACLS","NYSE","stock","USD"
"Arcellx Inc. Common Stock","ACLX","NYSE","stock","USD"
"AECOM Common Stock","ACM","NYSE","stock","USD"
"ACM Research Inc. Class A Common Stock","ACMR","NYSE","stock","USD"
"Accenture plc Class A Ordinary Shares (Ireland)","ACN","NYSE","stock","USD"
"ACNB Corporation Common Stock","ACNB","NYSE","stock","USD"
"Ascent Industries Co. Common Stock","ACNT","NYSE","stock","USD"
"Aclarion Inc. Common Stock","ACON","NYSE","stock","USD"
"Aclarion Inc. Warrant","ACONW","NYSE","stock","USD"
"Acorda Therapeutics Inc. Common Stock","ACOR","NYSE","stock","USD"
"abrdn Income Credit Strategies Fund Common Shares","ACP","NYSE","stock","USD"
"abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock","ACP^A","NYSE","stock","USD"
"Independence Holdings Corp. Class A Ordinary Share","ACQR","NYSE","stock","USD"
"Independence Holdings Corp. Warrant","ACQRW","NYSE","stock","USD"
"ACRES Commercial Realty Corp. Common Stock","ACR","NYSE","stock","USD"
"ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock","ACR^C","NYSE","stock","USD"
"ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock","ACR^D","NYSE","stock","USD"
"Ares Commercial Real Estate Corporation Common Stock","ACRE","NYSE","stock","USD"
"Acropolis Infrastructure Acquisition Corp. Class A Common Stock","ACRO","NYSE","stock","USD"
"Aclaris Therapeutics Inc. Common Stock","ACRS","NYSE","stock","USD"
"Acrivon Therapeutics Inc. Common Stock","ACRV","NYSE","stock","USD"
"AcelRx Pharmaceuticals Inc. Common Stock","ACRX","NYSE","stock","USD"
"Acasti Pharma Inc. Class A Common Stock","ACST","NYSE","stock","USD"
"Enact Holdings Inc. Common Stock","ACT","NYSE","stock","USD"
"Acacia Research Corporation (Acacia Tech) Common Stock","ACTG","NYSE","stock","USD"
"Acme United Corporation. Common Stock","ACU","NYSE","stock","USD"
